86,ELEFANTE BLANCO,Fiction,2012,TRAPERO Pablo,ARTE FRANCE CINEMA / BORSALINO PRODUCTIONS / MANEKI FILMS
87,ETRANGE COULEUR DES LARMES DE TON CORPS (L'),Fiction,2012,CATTET Helene / FORZANI Bruno,TOBINA FILM
88,GARcONS ET GUILLAUME; A TABLE ! (LES),Fiction,2012,GALLIENNE Guillaume,DON'T BE SHY PRODUCTIONS / FRANCE 3 CINEMA / GAUMONT / LGM FILMS / RECTANGLE PRODUCTIONS
89,JACKY AU ROYAUME DES FILLES,Fiction,2012,SATTOUF Riad,ALVY DISTRIBUTION / FRANCE 2 CINEMA / LES FILMS DES TOURNELLES / ORANGE STUDIO / PATHE PRODUCTION
90,MARUSSIA,Fiction,2012,PERVOLOVICI Eva,KINOELEKTRON
91,SENS DE L'AGE (LE),Documentaire,2012,VIROT Ludovic,COLOURED PLATES PRODUCTION
92,SOLEILS,Fiction,2012,KOUYATE Dani / DELAHAYE Olivier,ODELION
93,TOUR DU FASO,Documentaire,2012,HUYGEN Wilm,LA HUIT PRODUCTION
94,VENDANGES,Documentaire,2012,LACOSTE Paul,EVERYBODY ON DECK
95,Amore non perdona (L'),Fiction,2014,CONSIGLIO Stefano,BABE FILMS
96,Arunoday (sunrise),Fiction,2014,SEN GUPTA Partho,DOLCE VITA FILMS
97,Belles familles,Fiction,2014,RAPPENEAU Jean-Paul,ARP / TF1 FILMS PRODUCTION
98,Betises (Les),Fiction,2014,PHILIPPON Rose / PHILIPPON Alice,ASA FILMS / REZO PRODUCTIONS
99,Deux Amis (Les),Fiction,2014,GARREL Louis,ARTE FRANCE CINEMA / LES FILMS DES TOURNELLES
100,Dieu protege ma fille,Fiction,2014,BOUZID Leyla,BLUE MONDAY PRODUCTIONS
101,Fille du patron (La),Fiction,2014,LOUSTAU Olivier,BETHSABEE MUCHO / CENTRE EUROPEEN CINEMATOGRAPHIQUE RHONE ALPES / FRANCE 2 CINEMA / ROUGE INTERNATIONAL
102,Hermine (L'),Fiction,2014,VINCENT Christian,ALBERTINE PRODUCTIONS / FRANCE 2 CINEMA
103,Memoires du vent (Les),Fiction,2014,ALPER   Ozcan,ARIZONA PRODUCTIONS
104,Nos arcadies,Fiction,2014,DESPLECHIN Arnaud,FRANCE 2 CINEMA / WHY NOT PRODUCTIONS
105,Nouveau (Le),Fiction,2014,ROSENBERG Rudi,CINEFRANCE 1888 / RECIFILMS
106,Parabole de Zizou (La),Fiction,2014,BOUGHEDIR Ferid,FRANCE 3 CINEMA / MARSA FILMS / MILLE ET UNE PRODUCTIONS
107,Sous les jupes des filles,Fiction,2014,DANA Audrey,FIDELITE FILMS / M6 FILMS / WILD BUNCH
108,Taken 3,Fiction,2014,MEGATON Olivier,EUROPACORP / M6 FILMS
109,The Valley of Love,Fiction,2014,NICLOUX Guillaume,DD PRODUCTIONS / LES FILMS DU WORSO / LGM CINEMA
110,Un homme a la mer,Fiction,2014,DOIGNON Geraldine,KIZMAR FILMS
111,A l'ombre des forets,Fiction,2013,ANGER Cedric,CANEO FILMS / LES PRODUCTIONS DU TRESOR / MARS FILMS / SUNRISE FILMS
112,Akwaba,Fiction,2013,MARIAGE Benoit,FORMOSA PRODUCTIONS
113,Chromobiles,Docu,2013,LACHAUD Valerie Elodie,SCOTTO PRODUCTIONS
114,Combattants (Les),Fiction,2013,CAILLEY Thomas,NORD OUEST FILMS
115,Divorce a la francaise,Fiction,2013,SEBBAGH Dorothee,LES FILMS DU 24
116,Fidelio; l'odyssee d'Alice,Fiction,2013,BORLETEAU Lucie,APSARA FILMS / WHY NOT PRODUCTIONS
117,Iqbal; histoire d'un enfant qui n'avait pas peur,Anim,2013,PAYAMI Babak / FUZELLIER Michel,2D/3D ANIMATIONS / MONTPARNASSE PRODUCTIONS
118,Jalousie (La),Fiction,2013,GARREL Philippe,SBS PRODUCTIONS
119,Macadam popcorn,Docu,2013,POZZI Jean-Pierre,CIEL DE PARIS PRODUCTIONS
120,Nymphomaniac volume 2,Fiction,2013,VON TRIER Lars,SLOT MACHINE / ZENTROPA INTERNATIONAL FRANCE
121,Sorcieres de Zugarramurdi (Les),Fiction,2013,DE LA IGLESIA Alex,ARTE FRANCE CINEMA / LA FERME PRODUCTIONS
122,Touriste,Fiction,2013,OSTLUND Ruben,CENTRE EUROPEEN CINEMATOGRAPHIQUE RHONE ALPES / SOCIETE PARISIENNE DE PRODUCTION
123,Un monde truque,Anim,2013,EKINCI Franck / DESMARES Christian,JE SUIS BIEN CONTENT / STUDIOCANAL
124,Untitled 13,Fiction,2013,LEIGH Mike,DIAPHANA FILMS / FRANCE 3 CINEMA
125,Weekend of a champion,Docu,2013,POLANSKI Roman,RP PRODUCTIONS
126,Yeux jaunes des crocodiles (Les),Fiction,2013,TELERMAN Cecile,LES FILMS MANUEL MUNZ / TF1 FILMS PRODUCTION / WILD BUNCH
127,Anarchistes (Les),Fiction,2015,WAJEMAN Elie,24 MAI PRODUCTION / FRANCE 2 CINEMA / MARS FILMS
128,Araignee rouge (L'),Fiction,2015,FLORINO Franck,COLOR DREAMS PRODUCTIONS
129,Faut pas lui dire,Fiction,2015,CICUREL Solange,OTHER ANGLE PICTURES
130,Feu sacre (Le),Docu,2015,JOFFE Arthur,JETLAG FILMS
131,Going to Brazil,Fiction,2015,MILLE Patrick,CHAPTER 2 / FRANCE 3 CINEMA / MOONSHAKER II
132,Indomptee (L'),Fiction,2015,DERUAS Caroline,MANCHESTER FILMS / STADENN PROD / THELMA FILMS
133,Louise en hiver,Anim,2015,LAGUIONIE Jean-Francois,JPL FILMS
134,Malheurs de Sophie (Les),Fiction,2015,HONORE Christophe,FRANCE 3 CINEMA / LFP
135,Marguerite,Fiction,2015,GIANNOLI Xavier,FIDELITE FILMS / FRANCE 3 CINEMA
136,Orpheline,Fiction,2015,DES PALLIERES Arnaud,CENTRE EUROPEEN CINEMATOGRAPHIQUE RHONE ALPES / LES FILMS D'ICI / LES FILMS HATARI
137,Potager de mon grand-pere (Le),Docu,2015,LOUGE ESPOSITO Martin,MOTHER AND SON
138,Project lazarus,Fiction,2015,GIL Mateo,NOODLES PRODUCTION
139,Secret d'hiver,Fiction,2015,HARTER Vincent,HAKA VISION
140,Wolf and sheep,Fiction,2015,SADT Shahrbanoo,LA FABRICA NOCTURNA
141,BERNARD NI DIEU NI CHAUSSETTES,Documentaire,2010,BOUCHER Pascal,LES MUTINS DE PANGEE
142,CAFE DE FLORE,Fiction,2010,VALLEE Jean-Marc,MONKEY PACK FILMS
143,CROISIERE (LA),Fiction,2010,POUZADOUX Pascale,FIDELITE FILMS / TF1 FILMS PRODUCTION
144,EL IMPENETRABLE,Documentaire,2010,INCALCATERRA Daniele,LES FILMS D'ICI
145,FORCES SPeCIALES,Fiction,2010,RYBOJAD Stephane,EASY COMPANY / MEMENTO / STUDIOCANAL
146,NEIGES DU KILIMANDJARO (LES),Fiction,2010,GUEDIGUIAN Robert,AGAT FILMS ET CIE / FRANCE 3 CINEMA
147,NENETTE,Documentaire,2010,PHILIBERT Nicolas,LES FILMS D'ICI
148,OMBLINE,Fiction,2010,CAZES Stephane,ARSAM INTERNATIONAL / DIBONA FILMS
149,TEODORA PECHERESSE,Documentaire,2010,HIRTE Anca,LES FILMS D'ICI
150,TON PROCHAIN,Fiction,2010,RIITTA CICCONE Anne,ASTRA FILMS
151,VOIE RAPIDE,Fiction,2010,RODRIGUEZ Christophe,SESAME FILMS
152,ALEX,Fiction,2004,ALCALA Jose,GEMINI FILMS / LES FILMS DE LA GRANDE OURSE
153,BANLIEUE 13,Fiction,2004,MOREL Pierre,EUROPACORP / TF1 FILMS PRODUCTION
154,GLORIA MUNDI 2004,Fiction,2004,PAPATAKIS Nico,NIO PRODUCTION
155,PARRAINS (LES),Fiction,2004,FORESTIER Frederic,ARP / LES FILMS DE LA SUANE / TF1 FILMS PRODUCTION
156,ULTRANOVA,Fiction,2004,LANNERS Philippe,QUO VADIS CINEMA
157,UN HEROS,Fiction,2004,GAMBOA Zeze,LES FILMS DE L'APRES MIDI
158,VIE DE MICHEL MULLER EST PLUS BELLE QUE LA VOTRE (LA),Fiction,2004,MULLER Michel,KCRAFT & CO / MM PRODUCTIONS
159,DE FORCE,Fiction,2011,HENRY Frank,CHAOCORP / MARILYN PRODUCTIONS / ORANGE STUDIO
160,FILS DE L'AUTRE (LE),Fiction,2011,LEVY Lorraine,CITE FILMS / FRANCE 3 CINEMA / RAPSODIE PRODUCTION / SOLO FILMS
161,HOLY MOTORS,Fiction,2011,CARAX Leos,ARTE FRANCE CINEMA / PIERRE GRISE PRODUCTIONS / THEO FILMS
162,MA BONNE ETOILE,Fiction,2011,FASSIO Anne,FRANCE 3 CINEMA / NOE PRODUCTIONS INT / PARADIS FILMS / STUDIOCANAL
163,Amour flou (L'),Fiction,2018,BOHRINGER Romane / REBBOT Philippe,ESCAZAL FILMS
164,Andy,Fiction,2018,WEILL Julien,MY FAMILY ET DAVIS FILMS
165,Beau joueur,Docu,2018,GLEIZE Delphine,LES PRODUCTIONS BALTHAZAR
166,Bel ete (Le),Fiction,2018,CRETON Pierre,ANDOLFI
167,Camille,Fiction,2018,LOJKINE Boris,UNITe DE PRODUCTION
168,Cunningham aka Cunningham 3D,Docu,2018,KOVGAN Alla,ARSAM INTERNATIONAL
169,Francisca (La),Fiction,2018,LITORRIAGA Rodrigo,DOLCE VITA FILMS
170,Magic 7,Fiction,2018,KRAWCZYK Gerard,ADNP ET PROFIDEV
171,Touch me not,Fiction,2018,PINTILIE Adina,LES FILMS DE L'ETRANGER
172,Walter,Fiction,2018,SOUDJIAN Varante,VERTIGO PRODUCTIONS
173,Anna,Fiction,2017,BESSON Luc,EUROPACORP
