Mange tes morts,Fiction,2013,HUE Jean-Charles,CAPRICCI PRODUCTION
APRES LE SUD,Fiction,2010,JAUFFRET Jean-Jacques,EXPLICIT FILMS
ARTICLE 23,Fiction,2010,DELEPINE Jean-Pierre,LA FEMME ENDORMIE
PAS A PAS,Documentaire,2010,LI Blanca,FILM ADDICT
STALINGRAD LOVERS,Fiction,2010,ALBERT Fleur,LA HUIT PRODUCTION
TOMBOY,Fiction,2010,SCIAMMA Celine,HOLD UP FILMS ET PRODUCTIONS
TOUS COBAYES ?,Documentaire,2010,JAUD Jean-Paul,J+B SEQUENCES
UN NUAGE DANS UN VERRE D'EAU,Fiction,2010,SAMARASINGHE Srinath,AVENUE B PRODUCTIONS
UNE EDUCATION NORVEGIENNE,Fiction,2010,LIEN Jens,LES FILMS D'ANTOINE
DIAS DE GRACIA,Fiction,2011,GRAUTOFF Gout Valerio,ARP
ETRE LA,Documentaire,2011,SAUDER Regis,SHELLAC SUD
HOMME AU BAIN,Fiction,2011,HONORE Christophe,LES FILMS DU BELIER
Coup de chaud,Fiction,2014,JACOULOT Raphael,TS PRODUCTIONS
Dealer,Fiction,2014,HERBULOT Jean-Luc,MULTIPASS PROD
Dictashot,Fiction,2014,LADJIMI Moktar,DAY FOR NIGHT PRODUCTIONS
Flux,Fiction,2014,BENTOUMI Farid,LES FILMS VELVET
ORLANDO FERITO,Documentaire,2012,DIEUTRE Vincent,LA HUIT PRODUCTION
RIVES,Fiction,2012,HOSTIOU Armel,BOCALUPO FILMS
IRINA PALM,Fiction,2006,GABARSKI Sam,LIAISON CINEMATOGRAPHIQUE
JE SUIS DE TITOV VELES,Fiction,2006,STRUGAR MITEVSKA Teona,SILKROAD PRODUCTION
TEHILIM,Fiction,2006,NADJARI Raphael,SHILO FILMS
CLeMENCE,Fiction,2007,BUCHTER Franck,ART'H PRODUCTIONS
FOOL MOON,Fiction,2007,L'HOTSKY Jerome,AFCD PRODUCTION
ON VERRA DEMAIN,Fiction,2007,AVIZANDA Francisco,FAIR FILMS
ELeVE LIBRE,Fiction,2008,LAFOSSE Joachim,MACT PRODUCTIONS
RIO SEX COMEDY,Fiction,2008,NOSSITER Jonathan,CINEMA DEPENDANT
SIMON KONIANSKI,Fiction,2008,WALD Micha,LES FILMS DU CHERCHE MIDI
A mon age je me cache encore pour fumer,Fiction,2015,OBERMEYER Rayhana,KG PRODUCTIONS
Compte tes blessures,Fiction,2015,SIMON Morgan,KAZAK PRODUCTIONS
Dogs,Fiction,2015,MIRICA Bogdan,EZ FILMS
Noces,Fiction,2015,STREKER Stephan,FORMOSA PRODUCTIONS
Sierra nevada,Fiction,2015,PUIU Cristi,ALCATRAZ FILMS
So Long,Fiction,2015,MERCIER Bruno,LES FRAISES SAUVAGES
Suburra,Fiction,2015,SOLLIMA Stefano,LA CHAUVE SOURIS
Chamboultout,Fiction,2018,LAVAINE Eric,SAME PLAYER
Divorce club,Fiction,2018,YOUN Michael,RADAR FILMS ET SND
Frankie,Fiction,2018,SACHS Ira,SBS PRODUCTIONS
J'aime mon patron,Docu,2018,GRAVELLE Brice,LES MUTINS DE PANGeE
Joueurs,Fiction,2018,MONGE Marie,THE FILM
Monsieur,Docu,2018,DELAHOUSSE Laurent,MAGNETO PROD ET LA BAMBOLA
Paris calligrammes,Docu,2018,OTTINGER Ulrike,IDeALE AUDIENCE
Saint inconnu,Fiction,2018,ALJEM Alaa Eddine,ALTAMAR FILMS
Sauver ou perir,Fiction,2018,TELLIER Frederic,SINGLE MAN PRODUCTIONS
Un grand voyage vers la nuit,Fiction,2018,GAN Bi,CHARLES GILLIBERT CG CINeMA
Ricordi ?,Fiction,2017,MIELI Valerio,LES FILMS D'ICI
Sunset,Fiction,2017,NEMES Laszlo,FD PRODUCTION
Chouquette,Fiction,2016,GODEAU Patrick,WAITING FOR CINEMA
Gangsterdam,Fiction,2016,LEVY Romain,LES PRODUCTIONS DU TRESOR
Jeune femme,Fiction,2016,SERAILLE Leonore,BLUE MONDAY PRODUCTIONS
Links of life,Fiction,2016,ROUX Marie-Helene,1DIVIDED FILMS
Otez-moi d'un doute,Fiction,2016,TARDIEU Carine,KARE PRODUCTIONS
Telle mere telle fille,Fiction,2016,SAGLIO Noemie,FLAMME FILMS
EN CE TEMPS LA L'AMOUR,Fiction,2004,JOUANNET Irene,SOPHIE DULAC PRODUCTIONS
Conversation animee avec Noam Chomsky,Anim,2014,GONDRY Michel,PARTIZAN FILMS
Cosmos,Fiction,2014,ZULAWSKI Andrzej,ALFAMA FILMS PRODUCTION
D'amour et de dettes,Fiction,2014,AVIZANDA Francisco,FAIR FILMS
Enfants valises,Docu,2014,DE LAUZANNE Xavier,ALOEST PRODUCTIONS
Entre amis - valse politique a Bruxelles,Docu,2014,BERNET David,SEPPIA
Submersion,Fiction,2014,PLACE Marine,SENSITO FILMS
Yzkor,Fiction,2014,NADJARI Raphael,THE FRENCH CONNECTION
ILLUSIONES OPTICAS,Fiction,2009,JIMENEZ Cristian,LES FILMS DU REQUIN
SQUAT LA VILLE EST A NOUS,Documentaire,2009,COELLO Christophe,CP PRODUCTIONS
VIVA RIVA !,Fiction,2009,TUNDA WA MUNGA Djo,FORMOSA PRODUCTIONS
360,Fiction,2011,MEIRELLES Fernando,FIDELITE FILMS
SACRE GRA,Documentaire,2011,ROSI Gianfranco,LA FEMME ENDORMIE
Cent annees de pardon,Fiction,2015,CALPARSORO Daniel,MARE NOSTRUM PRODUCTIONS
Nomades,Fiction,2015,COUSSEMACQ Olivier,LOCAL FILMS
AVANT-POSTE,Fiction,2008,PARRAUD Emmanuel,SOCIETE CHATEAU ROUGE PRODUCTION
COCO CHANEL & IGOR STRAVINSKY,Fiction,2008,KOUNEN Jan,EUROWIDE FILM PRODUCTION
KURDISH LOVER,Documentaire,2008,HAHN Clarisse,LES FILMS DU PRESENT
NULLE PART TERRE PROMISE,Fiction,2008,FINKIEL Emmanuel,LE PREMIER POISSON
PLEIN SUD,Fiction,2008,LIFSHITZ Sebastien,AD VITAM PRODUCTION
BOVINES OU LA VRAIE VIE DES VACHES,Documentaire,2012,GRAS Emmanuel,BATHYSPHERE PRODUCTIONS
INSIDE OUT,Documentaire,2012,SIDDONS Alastair,JRSA
JASMINE,Animation,2012,UGHETTO Alain,LES FILMS DU TAMBOUR DE SOIE
VERSAILLES,Fiction,2007,SCHOELLER Pierre,LFP
Voyage vers la mere,Fiction,2013,KOSYREV-NESTEROV Mikhail,FLUID COMPANY
SERKO,Fiction,2005,FARGES Joel,CDP
UN CIEL ePICe,Fiction,2003,BOULMETIS Tassos,MC2 PRODUCTIONS
Flesh out,Docu,2018,OCCHIPINTI Michela,MACT PRODUCTIONS
Freres d'arme,Fiction,2018,LABROSSE Sylvain,LA VIE EST BELLE FILMS ASSOCIeS ET ORIFLAMME FILMS
Haut perches,Fiction,2018,DUCASTEL Olivier,REMORA FILMS
